suburb,state_code,suburb_normalized,winner_shop_number,winner_label,winner_distance_km,runner_up_shop_number,runner_up_label,runner_up_distance_km
Maslin Beach,SA,maslin beach,5351,Ingle Farm,47.62,5281,Salisbury Downs,52.48
Blewitt Springs,SA,blewitt springs,5351,Ingle Farm,38.18,5281,Salisbury Downs,43.69
Mclaren Flat,SA,mclaren flat,5351,Ingle Farm,42.82,5281,Salisbury Downs,48.22
Mclaren Vale,SA,mclaren vale,5351,Ingle Farm,45.18,5281,Salisbury Downs,50.38
Pedler Creek,SA,pedler creek,5351,Ingle Farm,43.3,5281,Salisbury Downs,48.61
Tatachilla,SA,tatachilla,5351,Ingle Farm,47.68,5281,Salisbury Downs,52.69
Dingabledinga,SA,dingabledinga,5351,Ingle Farm,48.63,5281,Salisbury Downs,54.25
Hope Forest,SA,hope forest,5351,Ingle Farm,50.83,5281,Salisbury Downs,56.39
Kuitpo,SA,kuitpo,5351,Ingle Farm,52.57,5281,Salisbury Downs,57.97
Kuitpo Colony,SA,kuitpo colony,5351,Ingle Farm,51.01,5281,Salisbury Downs,56.77
Kyeema,SA,kyeema,5351,Ingle Farm,50.51,5281,Salisbury Downs,56.22
Montarra,SA,montarra,5351,Ingle Farm,49.01,5281,Salisbury Downs,54.54
Pages Flat,SA,pages flat,5351,Ingle Farm,58.19,5281,Salisbury Downs,63.51
The Range,SA,the range,5351,Ingle Farm,47.12,5281,Salisbury Downs,52.67
Whites Valley,SA,whites valley,5351,Ingle Farm,52.17,5281,Salisbury Downs,57.28
Willunga,SA,willunga,5351,Ingle Farm,50.85,5281,Salisbury Downs,56.14
Willunga Hill,SA,willunga hill,5351,Ingle Farm,54.85,5281,Salisbury Downs,60.25
Willunga South,SA,willunga south,5351,Ingle Farm,53.22,5281,Salisbury Downs,58.51
Yundi,SA,yundi,5351,Ingle Farm,54.84,5281,Salisbury Downs,60.49
Aldinga,SA,aldinga,5351,Ingle Farm,51.55,5281,Salisbury Downs,56.47
Aldinga Beach,SA,aldinga beach,5351,Ingle Farm,53.84,5281,Salisbury Downs,58.64
Port Willunga,SA,port willunga,5351,Ingle Farm,51.94,5281,Salisbury Downs,56.77
Silver Sands,SA,silver sands,5351,Ingle Farm,57.5,5281,Salisbury Downs,62.32
Sellicks Beach,SA,sellicks beach,5351,Ingle Farm,59.19,5281,Salisbury Downs,64.04
Sellicks Hill,SA,sellicks hill,5351,Ingle Farm,60.06,5281,Salisbury Downs,65.19
Blackfellows Creek,SA,blackfellows creek,5351,Ingle Farm,48.2,5281,Salisbury Downs,54.01
Meadows,SA,meadows,5351,Ingle Farm,41.22,5281,Salisbury Downs,47.12
Paris Creek,SA,paris creek,5351,Ingle Farm,48.91,5281,Salisbury Downs,54.82
Prospect Hill,SA,prospect hill,5351,Ingle Farm,43.91,5281,Salisbury Downs,49.76
Hindmarsh Tiers,SA,hindmarsh tiers,5351,Ingle Farm,63.95,5281,Salisbury Downs,69.44
Myponga,SA,myponga,5351,Ingle Farm,65.29,5281,Salisbury Downs,70.31
Myponga Beach,SA,myponga beach,5351,Ingle Farm,67.4,5281,Salisbury Downs,71.96
Bald Hills,SA,bald hills,5351,Ingle Farm,76.98,5281,Salisbury Downs,81.81
Parawa,SA,parawa,5351,Ingle Farm,84.32,5281,Salisbury Downs,89.2
Torrens Vale,SA,torrens vale,5351,Ingle Farm,80.78,5281,Salisbury Downs,85.68
Tunkalilla,SA,tunkalilla,5351,Ingle Farm,95.05,5281,Salisbury Downs,99.86
Wattle Flat,SA,wattle flat,5351,Ingle Farm,70.4,5281,Salisbury Downs,75.08
Yankalilla,SA,yankalilla,5351,Ingle Farm,75.72,5281,Salisbury Downs,80.38
Carrickalinga,SA,carrickalinga,5351,Ingle Farm,73.16,5281,Salisbury Downs,77.67
Delamere,SA,delamere,5351,Ingle Farm,91.03,5281,Salisbury Downs,95.38
Hay Flat,SA,hay flat,5351,Ingle Farm,81.5,5281,Salisbury Downs,86.19
Normanville,SA,normanville,5351,Ingle Farm,75.33,5281,Salisbury Downs,79.84
Rapid Bay,SA,rapid bay,5351,Ingle Farm,90.49,5281,Salisbury Downs,94.68
Second Valley,SA,second valley,5351,Ingle Farm,87.83,5281,Salisbury Downs,92.17
Wirrina Cove,SA,wirrina cove,5351,Ingle Farm,83.95,5281,Salisbury Downs,88.32
Mount Compass,SA,mount compass,5351,Ingle Farm,59.7,5281,Salisbury Downs,65.26
Mount Magnificent,SA,mount magnificent,5351,Ingle Farm,53.77,5281,Salisbury Downs,59.53
Nangkita,SA,nangkita,5351,Ingle Farm,57.79,5281,Salisbury Downs,63.42
Back Valley,SA,back valley,5351,Ingle Farm,81.02,5281,Salisbury Downs,86.27
Chiton,SA,chiton,5351,Ingle Farm,81.02,5281,Salisbury Downs,86.27
Encounter Bay,SA,encounter bay,5351,Ingle Farm,83.77,5281,Salisbury Downs,89.29
Hayborough,SA,hayborough,5351,Ingle Farm,79.17,5281,Salisbury Downs,84.79
Hindmarsh Valley,SA,hindmarsh valley,5351,Ingle Farm,74.08,5281,Salisbury Downs,79.67
Inman Valley,SA,inman valley,5351,Ingle Farm,73.92,5281,Salisbury Downs,78.99
Lower Inman Valley,SA,lower inman valley,5351,Ingle Farm,77.39,5281,Salisbury Downs,82.76
Mccracken,SA,mccracken,5351,Ingle Farm,79.84,5281,Salisbury Downs,85.44
Mount Jagged,SA,mount jagged,5351,Ingle Farm,71.92,5281,Salisbury Downs,77.57
Victor Harbor,SA,victor harbor,5351,Ingle Farm,80.88,5281,Salisbury Downs,86.44
Victor Harbor Central,SA,victor harbor central,5351,Ingle Farm,82.42,5281,Salisbury Downs,87.96
Waitpinga,SA,waitpinga,5351,Ingle Farm,87.43,5281,Salisbury Downs,92.71
Willow Creek,SA,willow creek,5351,Ingle Farm,85.28,5281,Salisbury Downs,90.33
Yilki,SA,yilki,5351,Ingle Farm,81.02,5281,Salisbury Downs,86.27
Port Elliot,SA,port elliot,5351,Ingle Farm,78.19,5281,Salisbury Downs,83.88
Middleton,SA,middleton,5351,Ingle Farm,73.66,5281,Salisbury Downs,79.41
Currency Creek,SA,currency creek,5351,Ingle Farm,69.08,5281,Salisbury Downs,74.9
Goolwa,SA,goolwa,5351,Ingle Farm,76.02,5281,Salisbury Downs,81.85
Goolwa Beach,SA,goolwa beach,5351,Ingle Farm,77.35,5281,Salisbury Downs,83.16
